time_datetime,Error,Pbss,Pbss_bus8_Bus8_bTX,Pbss_bus8_real,Pbss_bus8_ref_real,Pbss_ref,Phres,Phres_real,Phres_ref,Ptot_wind1_real,Pwind
20-May-2024 11:39:37,0,3214.2275390625,5.47229621966993,3226.61175915594,3635.26440429688,-11.39599609375,8011.39599609375,8023.84999271264,8000,4797.2382335567,4797.16845703125
20-May-2024 11:39:44,0,-417.460845947266,-0.0145268360071962,-424.946392060242,-11.39599609375,3607.16787719727,4381.43612670898,4373.27397378526,8000,4798.22036584551,4798.89697265625
20-May-2024 11:39:49,0,3195.47705078125,5.40760945607056,3188.17905118001,3607.16796875,3607.16787719727,7994.1328125,7987.32856545095,8000,4799.14951427093,4798.65576171875
20-May-2024 11:39:55,0,3183.28393554688,5.41448261557609,3184.17321924364,3607.16796875,3624.12075805664,7983.04711914062,7984.02367708773,8000,4799.85045784408,4799.76318359375
20-May-2024 11:40:00,0,3204.98291015625,5.45002788013985,3208.04262334292,3624.12084960938,3624.12075805664,8005.64453125,8008.41787303734,8000,4800.37524969442,4800.66162109375
20-May-2024 11:40:05,0,3204.294921875,5.43185675339905,3203.25524197762,3624.12084960938,3624.12075805664,8004.6396484375,8003.90782240277,8000,4800.65258042515,4800.3447265625
20-May-2024 11:40:11,0,3208.17138671875,5.43456853832653,3206.50445947254,3624.12084960938,3624.12075805664,8008.77197265625,8007.34878372594,8000,4800.8443242534,4800.6005859375
20-May-2024 11:40:16,0,3214.3662109375,5.44364577450749,3212.70288942374,3624.12084960938,3608.71450805664,8015.40625,8013.81841192042,8000,4801.11552249668,4801.0400390625
20-May-2024 11:40:21,0,3199.88110351562,5.42933095649223,3199.7306231845,3608.71459960938,3608.71450805664,8001.65063476562,8001.20305473778,8000,4801.47243155328,4801.76953125
20-May-2024 11:40:27,0,3187.10986328125,5.42212370605331,3189.00524454029,3608.71459960938,3608.71450805664,7990.20458984375,7992.03824127567,8000,4803.03299673539,4803.0947265625
20-May-2024 11:40:32,0,3197.43359375,5.41688934191369,3195.37733647746,3608.71459960938,3608.71450805664,7999.99365234375,7998.09502340267,8000,4802.71768692521,4802.56005859375
20-May-2024 11:40:37,0,3199.52954101562,5.43224141354036,3200.0576469004,3608.71459960938,3608.71450805664,8002.85327148438,8003.16694671972,8000,4803.10929981932,4803.32373046875
20-May-2024 11:40:42,0,3195.93334960938,5.43324661740995,3197.68170336206,3608.71459960938,3608.71450805664,8000.29028320312,8001.64300592194,8000,4803.96130255988,4804.35693359375
20-May-2024 11:40:48,0,3186.1474609375,5.4193277440438,3187.64563389409,3608.71459960938,3608.71450805664,7990.2578125,7992.82812193313,8000,4805.18248803904,4804.1103515625
20-May-2024 11:40:53,0,3197.84936523438,5.4335577140902,3199.1441902189,3608.71459960938,3608.71450805664,8002.93237304688,8003.95561427,8000,4804.8114240511,4805.0830078125
20-May-2024 11:40:58,0,3185.76049804688,5.41570474096815,3186.33774296537,3608.71459960938,3608.71450805664,7991.90551757812,7992.59224906601,8000,4806.25450610063,4806.14501953125
20-May-2024 11:41:04,0,3193.48095703125,5.4109458493948,3191.13859517896,3608.71459960938,3608.71450805664,7999.13134765625,7997.20269474109,8000,4806.06409956213,4805.650390625
20-May-2024 11:41:09,0,3199.6787109375,5.432152738241,3200.08898287187,3608.71459960938,3608.71450805664,8006.2041015625,8006.29863878291,8000,4806.20965591104,4806.525390625
20-May-2024 11:41:14,0,3185.57763671875,5.41016447677809,3185.33106782894,3608.71459960938,3608.71450805664,7993.123046875,7993.07492809444,8000,4807.7438602655,4807.54541015625
20-May-2024 11:41:20,0,3197.48999023438,5.4169627645691,3195.2780311543,3608.71459960938,3608.71450805664,8004.64428710938,8002.60242324503,8000,4807.32439209072,4807.154296875
20-May-2024 11:41:25,0,3197.16357421875,5.43355847280981,3198.90958950882,3608.71459960938,3608.71450805664,8005.46923828125,8006.84739461785,8000,4807.93780510902,4808.3056640625
20-May-2024 11:41:30,0,3186.583984375,5.42059356486053,3188.36601320672,3608.71459960938,3608.71450805664,7995.92431640625,7997.63453156154,8000,4809.26851835482,4809.34033203125
20-May-2024 11:41:35,0,3193.16674804688,5.41142619507421,3191.55140669467,3608.71459960938,3608.71450805664,8002.00170898438,8000.67335103231,8000,4809.12194433764,4808.8349609375
20-May-2024 11:41:41,0,3198.05981445312,5.43335666861684,3199.41020822608,3608.71459960938,3608.71450805664,8007.89038085938,8008.83222121364,8000,4809.42201298756,4809.83056640625
20-May-2024 11:41:46,0,3196.67846679688,5.40864255494207,3188.28579715929,3608.71459960938,3608.71450805664,8006.45581054688,7998.7557480147,8000,4810.46995085541,4809.77734375
20-May-2024 11:41:52,0,3200.193359375,5.42783408895252,3199.82941911091,3608.71459960938,3598.07730102539,8010.63720703125,8010.13971058136,8000,4810.31029147045,4810.44384765625
20-May-2024 11:41:57,0,3179.87841796875,5.39290443091315,3177.96299277064,3598.07739257812,3598.07730102539,7991.05908203125,7989.4636957969,8000,4811.50070302626,4811.1806640625
20-May-2024 11:42:03,0,3184.40551757812,5.41722219659877,3187.69939092216,3598.07739257812,3598.07730102539,7996.60278320312,7999.38442028753,8000,4811.68502936537,4812.197265625
20-May-2024 11:42:08,0,3185.38720703125,5.39754473437852,3182.4734123461,3598.07739257812,3598.07730102539,7997.2568359375,7994.65160341267,8000,4812.17819106656,4811.86962890625
20-May-2024 11:42:13,0,3189.2685546875,5.41000662688808,3188.5469998884,3598.07739257812,3598.07730102539,8002.00732421875,8000.93946445671,8000,4812.39246456831,4812.73876953125
