time_datetime,Error,Pbss,Pbss_bus8_Bus8_bTX,Pbss_bus8_real,Pbss_bus8_ref_real,Pbss_ref,Phres,Phres_real,Phres_ref,Ptot_wind1_real,Pwind
17-May-2024 15:43:01,0,1171.27526855469,2.40010401640063,1186.58779013412,1599.28186035156,21.0321044921875,4978.96789550781,4993.28795956398,5000,3806.70016942986,3807.69262695312
17-May-2024 15:43:08,0,-406.316558837891,0.0633719008980934,-384.723572331808,21.0321044921875,1618.26467895508,3402.76742553711,3424.38494675999,5000,3809.1085190918,3809.083984375
17-May-2024 15:43:13,0,1197.283203125,2.44953909392193,1214.83853039307,1618.2646484375,1618.26467895508,5008.39013671875,5025.3353069147,5000,3810.49677652163,3811.10693359375
17-May-2024 15:43:18,0,1210.68212890625,2.43255892045922,1207.86246148431,1618.2646484375,1593.8264465332,5024.43823242188,5020.400652792,5000,3812.53819130769,3813.75610351562
17-May-2024 15:43:24,0,1174.51391601562,2.41697382671676,1191.12961070666,1593.82641601562,1603.96731567383,4989.85913085938,5005.29663477334,5000,3814.16702406668,3815.34521484375
17-May-2024 15:43:29,0,1178.0224609375,2.40077089758885,1176.76588111567,1603.96728515625,1603.96731567383,4994.158203125,4994.2811085229,5000,3817.51522740723,3816.1357421875
17-May-2024 15:43:35,0,1181.93627929688,2.39283689235748,1176.80721802601,1603.96728515625,1603.96731567383,5000.0849609375,4995.92635565108,5000,3819.11913762507,3818.14868164062
17-May-2024 15:43:40,0,1184.82434082031,2.43497350431746,1195.53013693313,1603.96728515625,1603.96731567383,5005.92028808594,5015.69904069121,5000,3820.16890375809,3821.09594726562
17-May-2024 15:43:45,0,1176.677734375,2.42198875786083,1185.67903966831,1603.96728515625,1603.96731567383,4998.1328125,5008.23785777618,5000,3822.55881810786,3821.455078125
17-May-2024 15:43:50,0,1194.97778320312,2.43413662072294,1201.33353411739,1603.96728515625,1584.28958129883,5019.677734375,5024.54806627296,5000,3823.21453215557,3824.69995117188
17-May-2024 15:43:56,0,1169.7978515625,2.40693607466977,1178.76759739486,1584.28955078125,1584.28958129883,4996.25024414062,5004.11024380646,5000,3825.3426464116,3826.45239257812
17-May-2024 15:44:01,0,1175.17395019531,2.40670783840782,1180.8202191362,1584.28955078125,1584.28958129883,5003.00329589844,5007.78030058286,5000,3826.96008144666,3827.82934570312
17-May-2024 15:44:06,0,1156.76135253906,2.37324571382872,1157.50901546121,1584.28955078125,1598.13320922852,4986.15637207031,4987.60845359974,5000,3830.09943813853,3829.39501953125
17-May-2024 15:44:12,0,1185.30822753906,2.38467348995954,1174.58504448012,1598.13317871094,1582.3000793457,5015.83312988281,5005.96822091356,5000,3831.38317643344,3830.52490234375
17-May-2024 15:44:17,0,1178.43249511719,2.39664805466254,1179.15306252283,1582.30004882812,1571.11245727539,5011.18762207031,5011.30796773819,5000,3832.15490521536,3832.75512695312
17-May-2024 15:44:22,0,1165.20434570312,2.35483496220705,1156.44243747789,1571.11242675781,1571.11245727539,4999.20849609375,4990.8391122007,5000,3834.39667472281,3834.00415039062
17-May-2024 15:44:28,0,1150.41101074219,2.38444370277527,1161.45710664397,1571.11242675781,1583.41848754883,4987.69396972656,4997.90045355108,5000,3836.44334690711,3837.28295898438
17-May-2024 15:44:33,0,1174.21533203125,2.36596607159988,1163.50516356457,1583.41845703125,1571.63479614258,5011.78369140625,5001.82411377855,5000,3838.31895021397,3837.568359375
17-May-2024 15:44:38,0,1163.30505371094,2.3508793101901,1153.86432709392,1571.634765625,1571.63479614258,5002.64855957031,4993.84031586507,5000,3839.97598877115,3839.34350585938
17-May-2024 15:44:44,0,1156.50476074219,2.34552847386652,1148.79225661105,1571.634765625,1571.63479614258,4997.76184082031,4990.91995940602,5000,3842.12770279497,3841.25708007812
17-May-2024 15:44:49,0,1168.76782226562,2.36822466555544,1164.09171234899,1571.634765625,1559.5588684082,5012.07592773438,5007.14581501731,5000,3843.05410266833,3843.30810546875
17-May-2024 15:44:54,0,1151.42553710938,2.36952131483812,1155.85105173447,1559.55883789062,1559.5588684082,4997.34765625,5000.81334810044,5000,3844.96229636597,3845.92211914062
17-May-2024 15:45:00,0,1133.41015625,2.33088467225046,1131.81483262475,1559.55883789062,1579.18630981445,4980.37255859375,4979.86478308336,5000,3848.04995045861,3846.96240234375
17-May-2024 15:45:05,0,1176.33630371094,2.38399099795217,1173.33227801504,1579.18627929688,-33086.6773376465,39665.8636474609,5021.72234300688,5000,3848.39006499184,38489.52734375
17-May-2024 15:45:10,0,-33536.37890625,-49.5958370106451,-33527.8319436067,-33086.67578125,-33072.1617126465,4985.484375,-29676.5670302715,5000,3851.26491333523,38521.86328125
17-May-2024 15:45:16,0,-33509.91796875,-49.5637397923028,-33502.7253761338,-33072.16015625,-33099.3765563965,5027.21484375,-29650.4178733213,5000,3852.30750281252,38537.1328125
17-May-2024 15:45:21,0,-33530.26171875,-49.6267989463087,-33541.6570837961,-33099.375,-33112.4546813965,5013.078125,-29687.5489046454,5000,3854.10817915068,38543.33984375
17-May-2024 15:45:26,0,-33553.1875,-49.6218799220983,-33550.5099919226,-33112.453125,-33112.4546813965,5001.58203125,-29694.4848678271,5000,3856.02512409552,38554.76953125
17-May-2024 15:45:32,0,-33551.7578125,-49.6542442479223,-33562.5478230436,-33112.453125,-33133.8726501465,5021.41796875,-29704.5575849238,5000,3857.99023811985,38573.17578125
17-May-2024 15:45:37,0,-33578.12109375,-49.6504187547136,-33566.315279021,-33133.87109375,-33160.2164001465,5026.34375,-29706.9334015551,5000,3859.38187746592,38604.46484375
17-May-2024 15:45:42,0,-33615.453125,-49.7376714033482,-33617.6239661046,-33160.21484375,-33170.4390563965,5010.22265625,-29755.557426546,5000,3862.06653955858,38625.67578125
17-May-2024 15:45:48,0,-33618.35546875,-49.7549187843283,-33629.9213637388,-33170.4375,-33180.7437438965,5010.3046875,-29765.941813205,5000,3863.97955053378,38628.66015625
17-May-2024 15:45:53,0,-33621.03515625,-49.7597927448903,-33631.4612703763,-33180.7421875,-33206.6929626465,5025.94921875,-29766.159894524,5000,3865.30137585228,38646.984375
17-May-2024 15:45:58,0,-33644.40625,-49.7937970948216,-33654.7723050546,-33206.69140625,-33226.2789001465,5019.5859375,-29787.8044133223,5000,3866.96789173231,38663.9921875
17-May-2024 15:46:04,0,-33660.41796875,-49.7930760128039,-33657.7734401889,-33226.27734375,-33261.9039001465,5035.625,-29789.5684688823,5000,3868.20497130668,38696.04296875
17-May-2024 15:46:09,0,-33720.94140625,-49.8562437326672,-33706.9041810611,-33261.90234375,-33261.9039001465,4993.87109375,-29836.0069542998,5000,3870.89722676129,38714.8125
17-May-2024 15:46:14,0,-33696.69921875,-49.8435928828984,-33693.3503952376,-33261.90234375,-33297.2945251465,5035.390625,-29821.4774556679,5000,3871.87293956974,38732.08984375
17-May-2024 15:46:20,0,-33754.51171875,-49.9462227527973,-33761.5435850076,-33297.29296875,-33279.9703063965,4982.67578125,-29886.433112776,5000,3875.11047223165,38737.1875
17-May-2024 15:46:25,0,-33714.88671875,-49.8794886833223,-33713.5456863221,-33279.96875,-33333.9820251465,5054.01171875,-29838.1066202796,5000,3875.43906604244,38768.8984375
