time_datetime,Pbss,Pbss_bus8_Bus8_bTX,Pbss_bus8_real,Pbss_bus8_ref_real,Pbss_ref,Phres,Phres_real,Phres_ref,Ptot_wind1_real,Pwind
15:47:29,4286.208984375,6.98581615736475,4265.77011946985,4666.2373046875,4642.11575317383,8024.12158203125,8004.71791404461,8000,3738.94779457476,3737.91259765625
15:47:34,4241.78955078125,6.94944776369036,4241.71890488548,4642.11572265625,4657.53616333008,7984.57958984375,7985.83777828647,8000,3744.118873401,3742.7900390625
15:47:39,4260.328125,6.99768955497909,4265.38542291603,4657.5361328125,4657.53616333008,8009.06689453125,8014.653850927,8000,3749.26842801098,3748.73876953125
15:47:44,4268.34130859375,6.97991985210176,4258.16222448285,4657.5361328125,4634.71853637695,8022.81762695312,8012.77396319027,8000,3754.61173870742,3754.47631835938
15:47:50,4234.49072265625,6.97986662739228,4254.60662618391,4634.71875,4634.71853637695,7993.14453125,8013.60441069645,8000,3758.99778451254,3758.65380859375
15:47:55,4241.5966796875,6.95688650121854,4239.31812035996,4634.71875,4634.71853637695,8005.58959960938,8004.26185160175,8000,3764.9437312418,3763.99291992188
15:48:00,38741.95703125,60.4679547179895,39100.2379318195,46347.1875,-29879.9570007324,42514.6755371094,42869.2012158222,8000,3768.96328400273,3772.71850585938
15:48:06,-38690.79296875,-57.3694852083244,-38691.8055933465,-298799.5703125,13035.4287414551,-34915.3857421875,-34916.2637124092,8000,3775.54188093727,3775.4072265625
15:48:11,38740.57421875,58.7456925502824,38741.2994663533,130354.287109375,-21485.1549987793,42520.5837402344,42520.6749557996,8000,3779.37548944637,3780.00952148438
15:48:16,-38767.52734375,-57.5363231677641,-38801.6735594371,-214851.54296875,21497.7007141113,-34982.8557128906,-35016.1229312776,8000,3785.55062815947,3784.67163085938
15:48:22,38797.62890625,58.8342465430667,38797.1771787604,214977.01171875,-13090.2956237793,42587.9963378906,42587.3315566443,8000,3790.15437788392,3790.36743164062
15:48:27,-38729.390625,-57.4812761114101,-38763.7711224754,-130902.958984375,29842.8891906738,-34933.1848144531,-34967.8085809456,8000,3795.96254152971,3796.20581054688
15:48:33,38791.734375,58.8681612337186,38800.786776254,298428.88671875,-4749.14401245117,42592.033203125,42601.7480196885,8000,3800.96124343445,3800.298828125
15:48:38,-38746.55078125,-57.4930527520565,-38776.2461900069,-47491.4404296875,38191.5022277832,-34940.6462402344,-34969.53665747,8000,3806.70953253695,3805.90454101562
15:48:44,38807.31640625,58.8670135256014,38800.5307803889,381915.0390625,3572.18313598633,42619.3190917969,42611.9517393674,8000,3811.42095897848,3812.00268554688
15:48:49,35274.98046875,53.5490887028725,35280.750774526,35721.8310546875,-27520.3239440918,39092.5070800781,39097.2035917186,8000,3816.45281719256,3817.52661132812
15:48:54,-38886.18359375,-57.6165093814178,-38858.257147209,-275203.2421875,15543.880645752,-35064.2045898438,-35036.7957742889,8000,3821.46137292012,3821.97900390625
15:49:00,38736.3359375,58.7771845327798,38740.8638228352,155438.80859375,-19019.0033874512,42562.8840332031,42568.5732174286,8000,3827.70939459344,3826.54809570312
15:49:05,-38740.97265625,-57.4755837686997,-38761.3807375604,-190190.0390625,23889.7414855957,-34908.7448730469,-34928.2490642723,8000,3833.13167328806,3832.22778320312
15:49:11,38804.92578125,58.8461041696002,38795.9009292548,238897.421875,-10753.4618835449,42643.2033691406,42634.2829730771,8000,3838.38204382231,3838.27758789062
15:49:16,-38759.609375,-57.4594533810082,-38748.7583899476,-107534.619140625,32163.3237609863,-34916.7856445312,-34906.5083519909,8000,3842.25003795673,3842.82373046875
15:49:21,38802.93359375,58.863319297217,38812.1390793244,321633.2421875,-2488.26119995117,42651.5849609375,42659.643212422,8000,3847.50413309764,3848.6513671875
15:49:27,-25298.28125,-37.2788793375029,-25272.6077285424,-24882.6123046875,26957.1809387207,-21445.4421386719,-21419.2452422636,8000,3853.36248627879,3852.83911132812
15:49:32,38856.578125,58.9466385442022,38852.3296980877,269571.81640625,-7757.78219604492,42714.9631347656,42711.8350457333,8000,3859.50534764562,3858.38500976562
15:49:37,-38782.2734375,-57.53956158997,-38804.8152911738,-77577.822265625,35159.7768859863,-34917.5590820312,-34940.3223768661,8000,3864.49291430767,3864.71435546875
15:49:43,38774.82421875,58.8365548337067,38788.2653764614,351597.7734375,516.447784423828,42643.3291015625,42657.0276142596,8000,3868.76223779822,3868.5048828125
15:49:48,4764.263671875,7.77282574374883,4782.50959725488,5164.4775390625,-122.843719482422,8639.29150390625,8656.72557635628,8000,3874.21597910141,3875.02783203125
15:49:53,-1602.02624511719,-1.84641080866212,-1615.33865868784,-1228.43719482422,5600.19107055664,2276.96520996094,2264.02478375002,8000,3879.36344243785,3878.99145507812
15:49:59,38864.2578125,58.9289068086461,38859.7612114795,56001.9091796875,-29149.5855407715,42749.7766113281,42744.25767834,8000,3884.4964668605,3885.51879882812
15:50:04,-29573.173828125,-43.6965252817927,-29560.4094624432,-29149.5859375,4534.17227172852,-25683.7578125,-25669.873760547,8000,3890.5357018962,3889.416015625
15:50:10,4154.43603515625,6.79195975638336,4137.21925428472,4534.17236328125,4485.08364868164,8049.08862304688,8033.20124455913,8000,3895.98199027441,3894.65258789062
15:50:15,4104.91064453125,6.73520654140529,4106.11820404897,4485.08349609375,4485.08364868164,8005.47924804688,8005.94668065467,8000,3899.82847660571,3900.56860351562
15:50:20,4090.19311523438,6.75454340867618,4107.41458145294,4485.08349609375,4485.08364868164,7996.09399414062,8012.86316893914,8000,3905.4485874862,3905.90087890625
15:50:26,4089.70141601562,6.74186891593842,4095.33854541032,4485.08349609375,4485.08364868164,8001.24291992188,8006.85727598945,8000,3911.51873057913,3911.54150390625
15:50:31,4099.54052734375,6.7501009754271,4109.46991169666,4485.08349609375,4469.05899047852,8016.02465820312,8025.08810456598,8000,3915.61819286932,3916.48413085938
15:50:36,4085.08422851562,6.698163069804,4070.91775010544,4469.05908203125,4469.05899047852,8007.14965820312,7993.08606626828,8000,3922.16831616284,3922.0654296875
15:50:42,4089.89184570312,6.689553470129,4072.96458538993,4469.05908203125,4452.27896118164,8016.78002929688,7999.87708532013,8000,3926.9124999302,3926.88818359375
15:50:47,4057.0498046875,6.69097362022534,4061.76125155471,4452.27880859375,4463.99380493164,7988.28515625,7994.23588427653,8000,3932.47463272182,3931.2353515625
15:50:52,4066.61499023438,6.7199476124005,4088.13268426068,4463.99365234375,4463.99380493164,8003.59228515625,8024.71632494522,8000,3936.58364068454,3936.97729492188
15:50:58,4076.80444335938,6.69099187684534,4065.99407125364,4463.99365234375,4445.24746704102,8018.74633789062,8009.07768242604,8000,3943.0836111724,3941.94189453125
15:51:03,4048.90014648438,6.69421054612862,4067.18746349494,4445.24755859375,4445.24746704102,7996.04296875,8014.55127717675,8000,3947.36381368181,3947.14282226562
15:51:09,4058.37939453125,6.65428516790412,4047.82939254727,4445.24755859375,4433.35806274414,8011.88940429688,8001.06955383765,8000,3953.24016129039,3953.51000976562
15:51:14,4048.05859375,6.66562132656118,4044.79595928841,4433.35791015625,4433.35806274414,8005.9619140625,8003.35876481486,8000,3958.56280552645,3957.9033203125
