time_datetime,Error,Pbss,Pbss_bus8_Bus8_bTX,Pbss_bus8_real,Pbss_bus8_ref_real,Pbss_ref,Phres,Phres_real,Phres_ref,Ptot_wind1_real,Pwind
24-May-2024 05:38:29,0,-597.711853027344,-0.311954056099449,-599.399644660957,-213.543304443359,-1779.39166259766,5779.39166259766,5777.6691615258,4000,6377.06880618675,6377.103515625
24-May-2024 05:38:36,0,-2164.28247070312,-2.65979130440965,-2164.49220212673,-1779.3916015625,-1999.55303955078,4220.16137695312,4219.92786004997,4000,6384.4200621767,6384.44384765625
24-May-2024 05:38:42,0,-2383.13525390625,-2.99068794260185,-2384.53130661963,-1999.55297851562,-1999.55303955078,4006.25732421875,4004.89935883968,4000,6389.43066545931,6389.392578125
24-May-2024 05:38:47,0,-2385.04565429688,-2.98836666475164,-2383.64217573845,-1999.55297851562,-1999.55303955078,4009.61791992188,4010.90455933457,4000,6394.54673507302,6394.66357421875
24-May-2024 05:38:53,0,-2383.96557617188,-2.99074101722859,-2385.0396111124,-1999.55297851562,-2015.13726806641,4015.58422851562,4014.64610028885,4000,6399.68571140125,6399.5498046875
24-May-2024 05:38:58,0,-2400.3974609375,-3.01252897445903,-2399.83648504014,-2015.13720703125,-2015.13726806641,4004.20703125,4004.87952525744,4000,6404.71601029758,6404.6044921875
24-May-2024 05:39:04,0,-2400.50610351562,-3.0121964407079,-2399.60598577057,-2015.13720703125,-2015.13726806641,4009.56958007812,4010.39081067335,4000,6409.99679644392,6410.07568359375
24-May-2024 05:39:09,0,-2400.24047851562,-3.01419319012489,-2400.23988472193,-2015.13720703125,-2029.92315673828,4014.78588867188,4014.8325863329,4000,6415.07247105483,6415.0263671875
24-May-2024 05:39:15,0,-2414.21850585938,-3.03516888151028,-2415.12213191476,-2029.92309570312,-2029.92315673828,4005.85375976562,4005.02801725334,4000,6420.1501491681,6420.072265625
24-May-2024 05:39:20,0,-2415.26440429688,-3.03346994576051,-2414.0027140065,-2029.92309570312,-2029.92315673828,4009.91137695312,4011.28977147151,4000,6425.292485478,6425.17578125
24-May-2024 05:39:26,0,-2413.66870117188,-3.03573561803499,-2414.10971043308,-2029.92309570312,-2046.44146728516,4016.51831054688,4016.00480139717,4000,6430.11451183025,6430.18701171875
24-May-2024 05:39:31,0,-2430.04663085938,-3.05925327718342,-2431.27142122697,-2046.44140625,-2046.44146728516,4005.27075195312,4004.01369710486,4000,6435.28511833182,6435.3173828125
24-May-2024 05:39:36,0,-2431.50610351562,-3.05818227694326,-2429.96212761982,-2046.44140625,-2046.44146728516,4008.70190429688,4010.12399108353,4000,6440.08611870335,6440.2080078125
24-May-2024 05:39:42,0,-2431.2890625,-3.05997414510609,-2430.34377279323,-2046.44140625,-2060.20074462891,4013.75927734375,4014.6852018537,4000,6445.02897464693,6445.04833984375
24-May-2024 05:39:47,0,-2445.49877929688,-3.07876423555496,-2443.732046438,-2060.20068359375,-2060.20074462891,4004.49291992188,4006.28689040917,4000,6450.01893684717,6449.99169921875
24-May-2024 05:39:52,0,-2444.97900390625,-3.07920242626874,-2444.55800355017,-2060.20068359375,-2070.20709228516,4010.00634765625,4010.56070358939,4000,6455.11870713957,6454.9853515625
24-May-2024 05:39:58,0,-2454.13232421875,-3.09640138369683,-2455.53752154295,-2070.20703125,-2070.20709228516,4006.00732421875,4004.59349305848,4000,6460.13101460144,6460.1396484375
24-May-2024 05:40:03,0,-24555.294921875,-3.09447743282562,-2454.76051472298,-2070.20703125,20020.2059936523,-18090.4130859375,4010.30134941225,4000,6465.06186413523,6464.8818359375
24-May-2024 05:40:08,0,196168.453125,30.0253208995596,19615.2173563103,20020.205078125,-178618.237365723,202638.443359375,26085.200349423,4000,6469.98299311271,6469.990234375
24-May-2024 05:40:13,0,-387549.40625,-57.468050915932,-38756.6135348476,-178618.234375,206456.000915527,-381074.23828125,-32281.5032624718,4000,6475.11027237577,6475.16796875
24-May-2024 05:40:19,0,387558.59375,58.7871901442585,38757.4915996139,206456,-183582.482971191,394038.483886719,45237.3157041136,4000,6479.8241044997,6479.89013671875
24-May-2024 05:40:24,0,-387570.6875,-57.4672501666936,-38756.3375878261,-183582.484375,201503.28704834,-381085.770019531,-32271.4988438145,4000,6484.83874401161,6484.91748046875
24-May-2024 05:40:29,0,387868.78125,58.8260830420377,38783.670929871,201503.28125,-188855.484924316,394358.771972656,45273.6610820651,4000,6489.9901521941,6489.99072265625
24-May-2024 05:40:35,0,-387501.9375,-57.4572157165134,-38749.6439776499,-188855.484375,196151.666442871,-381007.151367188,-32254.9151271186,4000,6494.72885053128,6494.7861328125
24-May-2024 05:40:40,0,387843.34375,58.828807386431,38784.7530425329,196151.671875,-194191.37701416,394343.043457031,45284.5227985299,4000,6499.76975599701,6499.69970703125
24-May-2024 05:40:46,0,-387386.90625,-57.4391019020822,-38738.5164165042,-194191.375,190690.46673584,-380881.84375,-32233.7289261921,4000,6504.78749031209,6505.0625
24-May-2024 05:40:51,0,387887.59375,58.8359147966462,38789.0309570916,190690.46875,-199706.966369629,394397.433105469,45298.8496600166,4000,6509.81870292501,6509.83935546875
24-May-2024 05:40:56,0,-387473.28125,-57.4550594341181,-38749.8723789659,-199706.96875,185251.507263184,-380958.473632812,-32235.0245500474,4000,6514.84782891848,6514.8076171875
24-May-2024 05:41:01,0,387846.34375,58.8274237445166,38785.0283381125,185251.5,-205114.472717285,394365.979980469,45304.6807052452,4000,6519.65236713265,6519.63623046875
