time_datetime,Error,Pbss,Pbss_bus8_Bus8_bTX,Pbss_bus8_real,Pbss_bus8_ref_real,Pbss_ref,Phres,Phres_real,Phres_ref,Ptot_wind1_real,Pwind,source,label,No.,Time,Source,Destination,Protocol,Length,Info
17-May-2024 15:44:49,0,1168.76782226562,2.36822466555544,1164.09171234899,1571.634765625,1559.5588684082,5012.07592773438,5007.14581501731,5000,3843.05410266833,3843.30810546875,Pwind,0,,,,,,,
17-May-2024 15:44:54,0,1151.42553710938,2.36952131483812,1155.85105173447,1559.55883789062,1559.5588684082,4997.34765625,5000.81334810044,5000,3844.96229636597,3845.92211914062,Pwind,0,,,,,,,
17-May-2024 15:45:00,0,1133.41015625,2.33088467225046,1131.81483262475,1559.55883789062,1579.18630981445,4980.37255859375,4979.86478308336,5000,3848.04995045861,3846.96240234375,Pwind,0,,,,,,,
17-May-2024 15:45:05,0,1176.33630371094,2.38399099795217,1173.33227801504,1579.18627929688,-33086.6773376465,39665.8636474609,5021.72234300688,5000,3848.39006499184,38489.52734375,Pwind,0,,,,,,,
17-May-2024 15:45:10,0,-33536.37890625,-49.5958370106451,-33527.8319436067,-33086.67578125,-33072.1617126465,4985.484375,-29676.5670302715,5000,3851.26491333523,38521.86328125,Pwind,0,,,,,,,
17-May-2024 15:45:16,0,-33509.91796875,-49.5637397923028,-33502.7253761338,-33072.16015625,-33099.3765563965,5027.21484375,-29650.4178733213,5000,3852.30750281252,38537.1328125,Pwind,0,,,,,,,
17-May-2024 15:45:21,0,-33530.26171875,-49.6267989463087,-33541.6570837961,-33099.375,-33112.4546813965,5013.078125,-29687.5489046454,5000,3854.10817915068,38543.33984375,Pwind,0,,,,,,,
17-May-2024 15:45:26,0,-33553.1875,-49.6218799220983,-33550.5099919226,-33112.453125,-33112.4546813965,5001.58203125,-29694.4848678271,5000,3856.02512409552,38554.76953125,Pwind,0,,,,,,,
17-May-2024 15:45:32,0,-33551.7578125,-49.6542442479223,-33562.5478230436,-33112.453125,-33133.8726501465,5021.41796875,-29704.5575849238,5000,3857.99023811985,38573.17578125,Pwind,0,,,,,,,
17-May-2024 15:45:37,0,-33578.12109375,-49.6504187547136,-33566.315279021,-33133.87109375,-33160.2164001465,5026.34375,-29706.9334015551,5000,3859.38187746592,38604.46484375,Pwind,0,,,,,,,
17-May-2024 15:45:42,0,-33615.453125,-49.7376714033482,-33617.6239661046,-33160.21484375,-33170.4390563965,5010.22265625,-29755.557426546,5000,3862.06653955858,38625.67578125,Pwind,0,,,,,,,
17-May-2024 15:45:48,0,-33618.35546875,-49.7549187843283,-33629.9213637388,-33170.4375,-33180.7437438965,5010.3046875,-29765.941813205,5000,3863.97955053378,38628.66015625,Pwind,0,,,,,,,
